S.No.	Post Office	pincode	Taluk	City	Delievery Type
796	Settipalli B.O	515110	Penukonda	Ananthapur	Delivery
797	Shaikshanipalli B.O	515812	Uravakonda	Ananthapur	Delivery
798	Shettur S.O	515767	Shettur	Ananthapur	Delivery
799	Siddarampuram B.O	515154	Bukkapatnam	Ananthapur	Delivery
800	Siddarampuram B.O	515701	Bukkarayasamudram	Ananthapur	Delivery
801	Singanahalli B.O	515871	Bommanahal	Ananthapur	Delivery
802	Singanamala S.O	515435	Singanamala	Ananthapur	Delivery
803	Singavaram B.O	515465	Yellanur	Ananthapur	Delivery
804	Sirekolam B.O	515261	Parigi	Ananthapur	Delivery
805	Sirivaram B.O	515331	Lepakshi	Ananthapur	Delivery
806	Sivaram B.O	515286	Amarapuram	Ananthapur	Delivery
807	Sollapuram B.O	515822	Uravakonda	Ananthapur	Delivery
808	Somaghatta B.O	515601	Chilamathur	Ananthapur	Delivery
809	Somaladoddi B.O	515004	Anantapur	Ananthapur	Delivery
810	Somalapuram B.O	515865	Herial	Ananthapur	Delivery
811	Somalavandlapalle B.O	515581	Talupula	Ananthapur	Delivery
812	Somandepalli S.O	515122	Somandepalli	Ananthapur	Delivery
813	Sreedharghatta B.O	515871	Bommanahal	Ananthapur	Delivery
814	Sri Venkateswara Puram S.O	515003	Anantapur	Ananthapur	Delivery
815	Srirangapuram B.O	515741	Beluguppa	Ananthapur	Delivery
816	Srirangarajupalli B.O	515212	Parigi	Ananthapur	Delivery
817	Subbaraopeta B.O	515672	Dharmavaram	Ananthapur	Delivery
818	Suddakuntapalli B.O	515122	Somandepalle	Ananthapur	Delivery
819	Sunnampalle B.O	515561	O.d. Cheruvu	Ananthapur	Delivery
820	T.Veerapuram B.O	515865	Rayadurg	Ananthapur	Delivery
821	Tadimarri S.O	515631	Tadimarri	Ananthapur	Delivery
822	Tadpatri Bazar S.O	515411	Tadpatri	Ananthapur	Non-Delivery
823	Tadpatri Bus Stand S.O	515411	Tadpatri	Ananthapur	Non-Delivery
824	Tadpatri Extension S.O	515411	Tadpatri	Ananthapur	Non-Delivery
825	Tadpatri S.O	515411	Tadpatri	Ananthapur	Delivery
826	Takkalapalli B.O	515414	Putlur	Ananthapur	Delivery
827	Talamarla B.O	515133	Kothacheruvu	Ananthapur	Delivery
828	Tallakera B.O	515863	Gummagatta	Ananthapur	Delivery
829	Tallikera B.O	515271	Gudibanda	Ananthapur	Delivery
830	Tallimadugu B.O	515672	Dharmavaram	Ananthapur	Delivery
831	Talupula S.O	515581	Talupula	Ananthapur	Delivery
832	Talupuru B.O	515751	Atmakur	Ananthapur	Delivery
833	Tammadehalli B.O	515281	Amarapuram	Ananthapur	Delivery
834	Tanakallu S.O	515571	Tanakallu	Ananthapur	Delivery
835	Tangedikunta B.O	515561	O.d. Cheruvu	Ananthapur	Delivery
836	Tapovanagar B.O	515004	Anantapur	Ananthapur	Non-Delivery
837	Tarimala S.O	515611	Singanamala	Ananthapur	Delivery
838	Taticherla B.O	515731	Garladinna	Ananthapur	Delivery
839	Tatrakallu B.O	515832	Vajrakarur	Ananthapur	Delivery
840	Tavalamarri B.O	515551	Nallacheruvu	Ananthapur	Delivery
841	Tekulodu B.O	515341	Chilamathur	Ananthapur	Delivery
842	Teliki B.O	515405	Pedda Vadagur	Ananthapur	Delivery
843	Tenagal B.O	515765	Kundurpi	Ananthapur	Delivery
844	Thabjula B.O	515445	Ammalladinne	Ananthapur	Delivery
845	Thagguparthi B.O	515741	Beluguppa	Ananthapur	Delivery
846	Theetakallu B.O	515763	Brhama Samudram	Ananthapur	Delivery
847	Therannapalli B.O	515414	Tadpatri	Ananthapur	Delivery
848	Thimmampalli B.O	515465	Yellanur	Ananthapur	Delivery
849	Thimmampeta B.O	515731	Garladinne	Ananthapur	Delivery
850	Thimmapuram B.O	515765	Kambadur	Ananthapur	Delivery
851	Thimmapuram B.O	515803	Guntakal	Ananthapur	Delivery
852	Thimmasamudram B.O	515787	Kalyandurg	Ananthapur	Delivery
853	Thippanapalli B.O	515767	Settur	Ananthapur	Delivery
854	Thippepalle B.O	515561	O.d. Cheruvu	Ananthapur	Delivery
855	Thirumaladevarapalli B.O	515271	Rolla	Ananthapur	Delivery
856	Thogarakunta B.O	515641	Kanaganapalli	Ananthapur	Delivery
857	Thondapadu B.O	515401	Gooty	Ananthapur	Delivery
858	Thopudurthi B.O	515722	Kanaganapalli	Ananthapur	Delivery
859	Thummala B.O	515672	Dharmavaram	Ananthapur	Delivery
860	Thummalakunta B.O	515341	Chilamathur	Ananthapur	Delivery
861	Thummalakuntapalli B.O	515561	O.d. Cheruvu	Ananthapur	Delivery
862	Thumucherla B.O	515641	Kanaganapalli	Ananthapur	Delivery
863	Thumukunta B.O	515766	Kundurpi	Ananthapur	Delivery
864	Thungodu B.O	515241	Somandepalli	Ananthapur	Delivery
865	Thurukalapatnam B.O	515123	Penukonda	Ananthapur	Delivery
866	Thutrallapalli B.O	515455	Yadiki	Ananthapur	Delivery
867	Timmanacharla S.O	515801	Guntakal	Ananthapur	Non-Delivery
868	Tummala B.O	515556	Amadagur	Ananthapur	Delivery
869	Ubicherla B.O	515551	Nallacheruvu	Ananthapur	Delivery
870	Uddihal B.O	515871	Bommanahal	Ananthapur	Delivery
871	Udegolam S.O	515867	Rayadurg	Ananthapur	Delivery
872	Udiripikonda B.O	515711	Kuderu	Ananthapur	Delivery
873	Ullikallu B.O	515611	Singanamala	Ananthapur	Delivery
874	Undabanda B.O	515812	Vidapanakal	Ananthapur	Delivery
875	Unthakallu B.O	515871	Bommanahal	Ananthapur	Delivery
876	Uppalapadu B.O	515511	Mudigubba	Ananthapur	Delivery
877	Upparapalli B.O	515002	Anantapur	Ananthapur	Delivery
878	Uppidipalli B.O	515303	Madakasira	Ananthapur	Delivery
879	Uravakonda (Bus Stand) B.O	515812	Uravakonda	Ananthapur	Non-Delivery
880	Uravakonda S.O	515812	Uravakonda	Ananthapur	Delivery
881	Urichintala B.O	515415	Tadipatri	Ananthapur	Delivery
882	Uruvoi Mallireddypalli B.O	515551	Nallacheruvu	Ananthapur	Delivery
883	Utukuru B.O	515261	Parigi	Ananthapur	Delivery
884	Vaddepalem B.O	515766	Kundurpi	Ananthapur	Delivery
885	Vadiampeta B.O	515731	Bukkaraya Samudram	Ananthapur	Delivery
886	Vadigepalli B.O	515241	Gorantla	Ananthapur	Delivery
887	Vajrakarur S.O	515832	Vajrakarur	Ananthapur	Delivery
888	Valasa B.O	515281	Amarapuram	Ananthapur	Delivery
889	Vanavolu B.O	515231	Gorantla	Ananthapur	Delivery
890	Vanganuru B.O	515411	Tadipatri	Ananthapur	Delivery
891	Vankapalle B.O	515571	Tanakal	Ananthapur	Delivery
892	Vankarajukalva B.O	515775	Pamidi	Ananthapur	Delivery
893	Vankarakunta B.O	515501	Nallamada	Ananthapur	Delivery
894	Veerapuram B.O	515865	Gummagatta	Ananthapur	Delivery
895	Veerapuram B.O	515341	Chilamathur	Ananthapur	Delivery
896	Vekigonda B.O	515812	Uravakonda	Ananthapur	Delivery
897	Velamakur B.O	515415	Tadipatri	Ananthapur	Delivery
898	Veldurthi B.O	515651	C.k. Palli	Ananthapur	Delivery
899	Velichelamala B.O	515581	N.p. Kunta	Ananthapur	Delivery
900	Vellamaddi B.O	515501	Nallamada	Ananthapur	Delivery
901	Velpumadugu B.O	515870	Vidapanakal	Ananthapur	Delivery
902	Vemulapadu B.O	515408	Yadiki	Ananthapur	Delivery
903	Vengalammacheruvu B.O	515144	Puttaparthy	Ananthapur	Delivery
904	Venkatagaripalli B.O	515133	Kothacheruvu	Ananthapur	Delivery
905	Venkatagiripalem B.O	515164	Penukonda	Ananthapur	Delivery
906	Venkatampalli B.O	515832	Vajrakarur	Ananthapur	Delivery
907	Venkatampalli B.O	515425	Narpala	Ananthapur	Delivery
908	Venkatampalli B.O	515101	Chennekothapalle	Ananthapur	Delivery
909	Venkatapuram B.O	515701	Bukkaraya Samudram	Ananthapur	Delivery
910	Venkatareddipalli B.O	515415	Tadpatri	Ananthapur	Delivery
911	Venkatareddipalli B.O	515110	Penukonda	Ananthapur	Delivery
912	Vennupusalapalli B.O	515465	Yellanur	Ananthapur	Delivery
913	Vepakunta B.O	515621	Kanaganapalle	Ananthapur	Delivery
914	Vepalaparthy B.O	515863	Brahmasamudram	Ananthapur	Delivery
915	Vepamanipeta B.O	515581	Talupula	Ananthapur	Delivery
916	Veparalla B.O	515867	Rayadurg	Ananthapur	Delivery
917	Vidapanakal S.O	515870	Vidapanakal	Ananthapur	Delivery
918	Virupapalli B.O	515761	Beluguppa	Ananthapur	Delivery
919	Vitlampalli B.O	515763	Kalyandurg	Ananthapur	Delivery
920	Vittapalli B.O	515261	Parigi	Ananthapur	Delivery
921	Vontareddipalli B.O	515765	Kambadur	Ananthapur	Delivery
922	Y Rama Puram B.O	515741	Uravakonda	Ananthapur	Delivery
923	Y.T.Cheruvu B.O	515401	Gooty	Ananthapur	Delivery
924	Yadiki S.O	515408	Yadiki	Ananthapur	Delivery
925	Yatakal B.O	515761	Kalyandurg	Ananthapur	Delivery
926	Yelagalavanka B.O	515763	Beluguppa	Ananthapur	Delivery
927	Yellanur S.O	515465	Tadpatri	Ananthapur	Delivery
928	Yelloti B.O	515303	Madakasira	Ananthapur	Delivery
929	Yellutla B.O	515425	Putlur	Ananthapur	Delivery
930	Yenumulachennampalli B.O	515787	Kambadur	Ananthapur	Delivery
931	Yenumuladoddi B.O	515765	Kundurpi	Ananthapur	Delivery
932	Yenumulapalli B.O	515134	Puttaparthi	Ananthapur	Delivery
933	Yerrabommanahalli B.O	515301	Madakasira	Ananthapur	Delivery
934	Yerragudi B.O	515741	Beluguppa	Ananthapur	Delivery
935	Yerragunta B.O	515871	Kanekal	Ananthapur	Delivery
936	Yerragunta B.O	515722	Raptadu	Ananthapur	Delivery
937	Yerragunta B.O	515261	Parigi	Ananthapur	Delivery
938	Yerraguntapalle B.O	515631	Tadimarri	Ananthapur	Delivery
939	Yerraguntapalli B.O	515411	Tadpatri	Ananthapur	Delivery
940	Yerraguntla B.O	515731	Garladinna	Ananthapur	Delivery
941	Yerrampalli B.O	515761	Kalyandurg	Ananthapur	Delivery
942	Zilladakunta B.O	515301	Madakasira	Ananthapur	Delivery
