S.No.	Post Office	pincode	Taluk	City	Delievery Type
248	Gonchireddypalli B.O	515763	Brahmasamudram	Ananthapur	Delivery
249	Gondireddypalli B.O	515722	Rapthadu	Ananthapur	Delivery
250	Gonehal B.O	515871	Bommanahal	Ananthapur	Delivery
251	Gonimekalapalli B.O	515123	Roddam	Ananthapur	Delivery
252	Gonipeta B.O	515110	Penukonda	Ananthapur	Delivery
253	Gooty Bazaar S.O	515401	Gooty	Ananthapur	Non-Delivery
254	Gooty R.S. S.O	515402	Gooty	Ananthapur	Delivery
255	Gooty S.O	515401	Gooty	Ananthapur	Delivery
256	Gootyanantapur B.O	515401	Gooty	Ananthapur	Delivery
257	Gopepalli B.O	515501	Nallamada	Ananthapur	Delivery
258	Gorantla S.O	515231	Gorantla	Ananthapur	Delivery
259	Goridindla B.O	515751	Atmakur	Ananthapur	Delivery
260	Gotkuru B.O	515711	Kuderu	Ananthapur	Delivery
261	Gotluru B.O	515672	Dharmavaram	Ananthapur	Delivery
262	Govindapuram B.O	515291	Madakasira	Ananthapur	Delivery
263	Govindawada B.O	515812	Bommanahal	Ananthapur	Delivery
264	Gowdanahalli B.O	515301	Madakasira	Ananthapur	Delivery
265	Gowkanapalle B.O	515581	N.p. Kunta	Ananthapur	Delivery
266	Gownipalli B.O	515561	Obuladevaracheruvu	Ananthapur	Delivery
267	Gownivaripalli B.O	515231	Gorantla	Ananthapur	Delivery
268	Gowrajupalle B.O	515123	Roddam	Ananthapur	Delivery
269	Gowrapuram B.O	515561	Obuladevaracheruvu	Ananthapur	Delivery
270	Gramadatla B.O	515865	Rayadurg	Ananthapur	Delivery
271	Gubanapalli B.O	515763	Kalyandurg	Ananthapur	Delivery
272	Guddadahalli B.O	515271	Gudibanda	Ananthapur	Delivery
273	Guddalapalli B.O	515731	Garladinne	Ananthapur	Delivery
274	Guddampalle B.O	515291	Madakasira	Ananthapur	Delivery
275	Gudduguriki B.O	515291	Rolla	Ananthapur	Delivery
276	Gudibanda S.O (Ananthapur)	515271	Gudibanda	Ananthapur	Delivery
277	Gudipadu B.O	515408	Yadiki	Ananthapur	Delivery
278	Gudipalli B.O	515122	Somandepalli	Ananthapur	Delivery
279	Gugudu B.O	515425	Narpala	Ananthapur	Delivery
280	Gulapalyam B.O	515842	Vajrakarur	Ananthapur	Delivery
281	Gummaghatta S.O	515863	Gummagatta	Ananthapur	Delivery
282	Gummaiahgaripalli B.O	515231	Gorantla	Ananthapur	Delivery
283	Gundiganipalli B.O	515863	Brahmasamudram	Ananthapur	Delivery
284	Gunemorubagal B.O	515286	Gudibanda	Ananthapur	Delivery
285	Gunipalli B.O	515154	Bukkapatnam	Ananthapur	Delivery
286	Gunjepalli B.O	515159	Mudigubba	Ananthapur	Delivery
287	Guntakal H.O 
                                        
                                          H.O	515801	Guntakal	Ananthapur	Delivery
288	Guntakal Market S.O	515801	Anantapur	Ananthapur	Non-Delivery
289	Gurrambailu B.O	515571	Tanakallu	Ananthapur	Delivery
290	Gurrapukonda B.O	515305	Madakasira	Ananthapur	Delivery
291	Gutibailu B.O	515521	N.p. Kunta	Ananthapur	Delivery
292	Guttur S.O	515164	Penukonda	Ananthapur	Delivery
293	Guvvalaguttapalli B.O	515231	Gorantla	Ananthapur	Delivery
294	H Sodanapalli B.O	515425	Narpala	Ananthapur	Delivery
295	Halkur B.O	515281	Amarapuram	Ananthapur	Delivery
296	Hallikera B.O	515311	Agali	Ananthapur	Delivery
297	Hallikera Devarahalli B.O	515311	Agali	Ananthapur	Delivery
298	Haludi B.O	515311	Agali	Ananthapur	Delivery
299	Hampapuram B.O	515722	Rapthadu	Ananthapur	Delivery
300	Hanakanahal B.O	515741	Kanekal	Ananthapur	Delivery
301	Hanchanahal B.O	515842	Vidapanakal	Ananthapur	Delivery
302	Handepalli B.O	515765	Kambadur	Ananthapur	Delivery
303	Hanumesh Nagar S.O	515801	Guntakal	Ananthapur	Non-Delivery
304	Hanumpalli B.O	515164	Penukonda	Ananthapur	Delivery
305	Haresamudram B.O	515301	Madakasira	Ananthapur	Delivery
306	Havaligi B.O	515870	Vipanakal	Ananthapur	Delivery
307	Hemavathi S.O	515286	Amarapuram	Ananthapur	Delivery
308	Herial S.O	515872	Herial	Ananthapur	Delivery
309	Hindupur Extns S.O	515201	Hindupur	Ananthapur	Non-Delivery
310	Hindupur Fort B.O	515202	Hindupur	Ananthapur	Delivery
311	Hindupur H.O 
                                        
                                          H.O	515201	Hindupur	Ananthapur	Delivery
312	Hindupur Sevamandir S.O	515212	Parigi	Ananthapur	Delivery
313	Hirethurpi B.O	515305	Gudibanda	Ananthapur	Delivery
314	Honnampalli B.O	515261	Parigi	Ananthapur	Delivery
315	Honnur B.O	515812	Bommanahal	Ananthapur	Delivery
316	Hottebetta B.O	515291	Rolla	Ananthapur	Delivery
317	Hottethimmanahalli B.O	515271	Gudibanda	Ananthapur	Delivery
318	Hulikunta B.O	515321	Rolla	Ananthapur	Delivery
319	Igaduru B.O	515415	Tadipatri	Ananthapur	Delivery
320	Illuru B.O	515611	Garladinne	Ananthapur	Delivery
321	Inagalur B.O	515311	Agali	Ananthapur	Delivery
322	Inagaluru B.O	515591	O.d. Cheruvu	Ananthapur	Delivery
323	Ipperu B.O	515711	Kuderu	Ananthapur	Delivery
324	Isurallapalli B.O	515401	Gooty	Ananthapur	Delivery
325	Jagarajupalli B.O	515133	Puttaparthi	Ananthapur	Delivery
326	Jakkalacheruvu B.O	515401	Gooty	Ananthapur	Delivery
327	Jakkasamudram B.O	515231	Gorantla	Ananthapur	Delivery
328	Jallipalli B.O	515711	Kudair	Ananthapur	Delivery
329	Jambalabanda B.O	515305	Gudibanda	Ananthapur	Delivery
330	Jambugumpala B.O	515766	Kundurpi	Ananthapur	Delivery
331	Jambuladinne B.O	515731	Garladinna	Ananthapur	Delivery
332	Janardhanapalli B.O	515812	Vidapanakal	Ananthapur	Delivery
333	Jangampalli B.O	515465	Yellanur	Ananthapur	Delivery
334	Janthaluru B.O	515701	Bukkarayasamudram	Ananthapur	Delivery
335	Javukulakothapalle B.O	515561	Amadaguru	Ananthapur	Delivery
336	Jayalakshmipuram S.O (Ananthapur)	515722	NA	Ananthapur	Delivery
337	Jeenulakunta B.O	515521	Gandlapenta	Ananthapur	Delivery
338	Jonnalakothapalli B.O	515159	Mudigubba	Ananthapur	Delivery
339	Julakalva B.O	515425	Bukkaraya Samudram	Ananthapur	Delivery
340	Junjurampalli B.O	515867	Rayadurg	Ananthapur	Delivery
341	Juturu B.O	515411	Peddapappuru	Ananthapur	Delivery
342	K Garudapuram B.O	515761	Kalyandurg	Ananthapur	Delivery
343	K.Brahmanapalli B.O	515591	Kadiri	Ananthapur	Delivery
344	K.K.Agraharam B.O	515701	Bukkarayasamudram	Ananthapur	Delivery
345	K.Mallireddipalle B.O	515571	Tanakal	Ananthapur	Delivery
346	Kadadarabenchi B.O	515842	Vidapanakal	Ananthapur	Delivery
347	Kadadarakunta B.O	515711	Kudair	Ananthapur	Delivery
348	Kadalur B.O	515865	Herial	Ananthapur	Delivery
349	Kadarampalli B.O	515766	Kundurpi	Ananthapur	Delivery
350	Kadavakallu B.O	515445	Ammalladinne	Ananthapur	Delivery
351	Kadiri Chowk S.O	515591	Kadiri	Ananthapur	Non-Delivery
352	Kadiri Kuntlapalli B.O	515541	Kadiri	Ananthapur	Delivery
353	Kadiri S.O	515591	Kadiri	Ananthapur	Delivery
354	Kadiridevarapalli B.O	515765	Kambadur	Ananthapur	Delivery
355	Kadiripulikunta B.O	515551	Nallacheruvu	Ananthapur	Delivery
356	Kaganapalli B.O	515241	Gorantla	Ananthapur	Delivery
357	Kaggallu B.O	515202	Bathalapalle	Ananthapur	Delivery
358	Kaki B.O	515321	Rolla	Ananthapur	Delivery
359	Kakkalapalli Colony B.O	515004	Anantapur	Ananthapur	Delivery
360	Kakkalpalli B.O	515002	Anantapur	Ananthapur	Delivery
361	Kalagalla B.O	515711	Kuderu	Ananthapur	Delivery
362	Kalapuram B.O	515775	Pamidi	Ananthapur	Delivery
363	Kalasamudram B.O	515501	Kadiri	Ananthapur	Delivery
